Metric,LR,SR,Relative Change
Detected Pixels,12263742,12023061,-0.019625412863382156
Median dNBR,0.3211576,0.3191374,
High-Conf Fraction,0.09202766,0.107944235,0.17295429
Edge-Region Gain,,,0.2107209511301583
Perimeter/Area (P2A),0.019789326944418758,0.04688516510063452,1.3692147404668396
True Positives,12201786,11843542,
True Negatives,33583356,33465793,
False Positives,61956,179519,
False Negatives,3152902,3511146,
Precision,0.9949480346210806,0.985068777410345,
Recall,0.7946619299591109,0.7713306841532697,
Specificity,0.9981585547490242,0.9946643680997816,
F1 Score,0.8835973659617871,0.8651947243727014,
Accuracy,0.9343906530612245,0.924680306122449,
IoU,0.7914683636724049,0.7624169035471202,
MCC,0.8489823860413065,0.8257255801727937,
Balanced Accuracy,0.8964102423540675,0.8829975261265257,
